ÜRÜN NO;DIÞ ÇAP;YÜKSEKLÝK
1056;71,5510;5,8450
1057;71,2540;5,8360
1058;71,4900;5,8040
1059;71,5290;5,8230
1060;71,4370;5,8280
1061;71,3370;5,8990
1062;71,4910;5,8310
1063;71,4770;5,8650
1064;71,4070;5,8460
1065;71,4130;5,8570
1066;71,4630;5,8170
1067;71,5550;5,8770
1068;71,3770;5,8590
1069;71,4460;5,8200
1070;71,4730;5,8330
1071;71,4640;5,8380
1072;71,4300;5,8280
1073;71,4630;5,8400
1074;71,5660;5,8180
1075;71,4110;5,8650
1076;71,4600;5,8090
1077;71,5390;5,8590
1078;71,5370;5,9030
1079;71,4490;5,8190
1080;71,4150;5,8280
1081;71,3830;5,8460
1082;71,4020;5,8430
1083;71,4990;5,8450
1084;71,5120;5,8030
1085;71,4300;5,8540
1086;71,4080;5,8430
1087;71,4720;5,8690
1088;71,5510;5,8880
1089;71,5000;5,8550
1090;71,5140;5,8290
1091;71,4130;5,9140
1092;71,4180;5,9030
1093;71,4730;5,8690
1094;71,4640;5,8140
1095;71,5050;5,8400
1096;71,3880;5,8600
1097;71,5590;5,8960
1098;71,5210;5,8610
1099;71,4810;5,8420
1100;70,6810;5,9400
1101;71,5300;5,8430
1102;71,4740;5,8890
1103;71,4460;5,8210
1104;71,4470;5,8980
1105;71,4110;5,8700
1106;71,4920;5,8390
1107;71,4830;5,8390
1108;71,4550;5,8590
1109;71,4100;5,8410
1110;71,4030;5,8680
1111;71,3790;5,8270
1112;71,4740;5,8290
1113;71,5770;5,9580
1114;71,5480;5,8230
1115;71,4830;5,8070
1116;71,3150;5,8700
1117;71,4480;5,8350
1118;71,4900;5,8980
1119;71,4270;5,8350
1120;71,4690;5,8270
1121;71,3960;5,8590
1122;71,4530;5,8280
1123;71,4780;5,8520
1124;71,4970;5,9200
1125;71,5460;5,8610
1126;71,4970;5,8640
1127;71,4900;5,8950
1128;71,4470;5,8320
1129;71,5110;5,8600
1130;71,4140;5,8590
1131;71,4500;5,8300
1132;71,4910;5,9000
1133;71,4930;5,8500
1134;71,4350;5,8680
1135;71,3350;5,8560
